/// ДРАЙВЕР ФР 4.9.0.152
/// МОДЕЛЬ: ШТРИХ-МИНИ-ФР-К; №89754665
/// ВЕРСИЯ ПО ФР: A.4.7407 (07.07.2000)
/// ТЕКУЩАЯ ДАТА: 12.08.2009 19:33:46
// ТАБЛИЦА 1, ТИП И РЕЖИМ КАССЫ
// НОМЕР ТАБЛИЦЫ,РЯД,ПОЛЕ,РАЗМЕР ПОЛЯ,ТИП ПОЛЯ,МИН. ЗНАЧЕНИЕ, МАКС.ЗНАЧЕНИЕ, НАЗВАНИЕ,ЗНАЧЕНИЕ
2,28,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,КАССИР 28
2,29,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,АДМИНИСТРАТОР
2,30,2,21,1,0,99999999,РЕКВИЗИТЫ КАССИРОВ,СИСТ. АДМИНИСТР.
// ТАБЛИЦА 3, ТАБЛИЦА ПЕРЕВОДА ВРЕМЕНИ
// НОМЕР ТАБЛИЦЫ,РЯД,ПОЛЕ,РАЗМЕР ПОЛЯ,ТИП ПОЛЯ,МИН. ЗНАЧЕНИЕ, МАКС.ЗНАЧЕНИЕ, НАЗВАНИЕ,ЗНАЧЕНИЕ
3,1,1,1,0,0,1,РАЗРЕШЕНИЕ ПЕРЕВОДА,0
3,2,1,1,0,0,1,РАЗРЕШЕНИЕ ПЕРЕВОДА,0
3,3,1,1,0,0,1,РАЗРЕШЕНИЕ ПЕРЕВОДА,0
3,4,1,1,0,0,1,РАЗРЕШЕНИЕ ПЕРЕВОДА,0
3,5,1,1,0,0,1,РАЗРЕШЕНИЕ ПЕРЕВОДА,0
3,6,1,1,0,0,1,РАЗРЕШЕНИЕ ПЕРЕВОДА,0
3,7,1,1,0,0,1,РАЗРЕШЕНИЕ ПЕРЕВОДА,0
3,8,1,1,0,0,1,РАЗРЕШЕНИЕ ПЕРЕВОДА,0
3,9,1,1,0,0,1,РАЗРЕШЕНИЕ ПЕРЕВОДА,1
3,10,1,1,0,0,1,РАЗРЕШЕНИЕ ПЕРЕВОДА,0
3,11,1,1,0,0,1,РАЗРЕШЕНИЕ ПЕРЕВОДА,1
3,12,1,1,0,0,1,РАЗРЕШЕНИЕ ПЕРЕВОДА,0
3,13,1,1,0,0,1,РАЗРЕШЕНИЕ ПЕРЕВОДА,1
3,14,1,1,0,0,1,РАЗРЕШЕНИЕ ПЕРЕВОДА,0
